case_id,stored_dept,corrected_dept,confidence,county_dept,panel_dept,panel_used
2280822,,2,MED,2,,0
2280824,,1,MED,1,,0
2280825,,2,MED,2,,0
2280841,,2,MED,2,,0
2280878,,1,MED,1,,0
2280890,,2,MED,2,,0
2280892,,2,MED,2,,0
2280898,,2,MED,2,,0
2280907,,2,MED,2,,0
2280914,,2,MED,2,,0
2282482,,1,MED,1,,0
2282484,,1,MED,1,,0
2282493,,1,MED,1,,0
2282497,,1,MED,1,,0
2282498,,2,MED,2,,0
2282523,,4,MED,4,,0
2282527,,2,MED,2,,0
2282536,,2,MED,2,,0
2282537,,1,MED,1,,0
2282558,,2,MED,2,,0
2282564,,2,MED,2,,0
2282573,,1,MED,1,,0
2282586,,1,MED,1,,0
2282602,,1,MED,1,,0
2282603,,2,MED,2,,0
2282607,,2,MED,2,,0
2282609,,1,MED,1,,0
2282615,,2,MED,2,,0
2282618,,4,MED,4,,0
2282623,,1,MED,1,,0
2282641,,2,MED,2,,0
2282650,,2,MED,2,,0
2282701,,2,MED,2,,0
2282782,,2,MED,2,,0
2284819,,3,MED,3,,0
2284831,,4,MED,4,,0
2284832,,2,MED,2,,0
2284838,,2,MED,2,,0
2284845,,4,MED,4,,0
2284848,,1,MED,1,,0
2284854,,2,MED,2,,0
2284860,,2,MED,2,,0
2284865,,1,MED,1,,0
2284872,,1,MED,1,,0
2284873,,1,MED,1,,0
2284879,,2,MED,2,,0
2284880,,1,MED,1,,0
2284883,,2,MED,2,,0
2284884,,2,MED,2,,0
2284887,,1,MED,1,,0
2284888,,2,MED,2,,0
2284897,,4,MED,4,,0
2284911,,4,MED,4,,0
2284918,,2,MED,2,,0
2284926,,2,MED,2,,0
2284941,,4,MED,4,,0
2284945,,1,MED,1,,0
2284950,,1,MED,1,,0
2284951,,1,MED,1,,0
2284970,,3,MED,3,,0
2284985,,1,MED,1,,0
2285003,,2,MED,2,,0
2285066,,4,MED,4,,0
2285107,,2,MED,2,,0
2285113,,1,MED,1,,0
2285131,,1,MED,1,,0
2287417,,1,MED,1,,0
2287430,,2,MED,2,,0
2287441,,2,MED,2,,0
2287447,,1,MED,1,,0
2287454,,1,MED,1,,0
2287472,,1,MED,1,,0
2287501,,1,MED,1,,0
2287512,,3,MED,3,,0
2287520,,1,MED,1,,0
2287549,,1,MED,1,,0
2287614,,1,MED,1,,0
2287783,,2,MED,2,,0
2287845,,2,MED,2,,0
2287870,,1,MED,1,,0
2287878,,1,MED,1,,0
2287889,,2,MED,2,,0
2289549,,1,MED,1,,0
2289555,,1,MED,1,,0
2289572,,2,MED,2,,0
2289586,,1,MED,1,,0
2289590,,1,MED,1,,0
2289599,,1,MED,1,,0
2289697,,2,MED,2,,0
2289701,,2,MED,2,,0
2289730,,2,MED,2,,0
2289739,,3,MED,3,,0
2289743,,1,MED,1,,0
2289751,,3,MED,3,,0
2289789,,1,MED,1,,0
2289798,,1,MED,1,,0
2289804,,3,MED,3,,0
2289836,,1,MED,1,,0
2292095,,1,MED,1,,0
2292098,,3,MED,3,,0
2292111,,2,MED,2,,0
2292121,,1,MED,1,,0
2292128,,1,MED,1,,0
